underlying,spot_price,volatility
AAON,148.51,0.4561
ABMD,111.23,0.2605
ACAD,72.34,0.4806
ACIU,128.9,0.1899
ACIW,144.41,0.4268
ACMR,49.42,0.1526
ACNB,33.48,0.4046
ADMA,36.9,0.186
ADTN,138.29,0.3515
AEPI,107.06,0.2929
AEY,96.61,0.3534
AEZS,108.4,0.3091
AGNC,21.68,0.1297
AGNCB,148.9,0.4768
AGNCP,107.38,0.4159
ALJJ,91.14,0.4097
AMAG,83.93,0.1918
AMCX,41.65,0.193
AMRK,22.23,0.4992
ANAD,62.88,0.387
ANIP,68.05,0.1742
ANSS,54.1,0.1266
ARCW,114.29,0.2253
ARIS,145.96,0.2467
ARMH,125.82,0.2079
ARRS,29.09,0.4029
ASBB,71.16,0.4639
ASDR,145.3,0.1114
ASML,88.75,0.4883
ASV,106.59,0.1403
ATNY,144.23,0.4122
CAFD,35.9,0.1661
EGHT,32.62,0.4818
EMDR,68.07,0.117
FCCY,142.84,0.2001
FCTY,90.13,0.3538
FLWS,38.23,0.15
FUBC,68.95,0.2643
JOBS,143.16,0.3172
PIH,100.48,0.2637
RUDR,135.58,0.3101
SHLM,121.24,0.3893
SRCE,139.91,0.4489
SSRX,52.2,0.4374
SWIN,45.78,0.3617
TURN,30.39,0.3702
TWOU,28.32,0.1079
UHAL,38.75,0.1187
VNET,73.3,0.4904
