trade_id,pv,delta,vega
1,390.635,8.908,2.306
2,239.037,-10.0,0.0
3,-201.071,-10.0,-0.0
4,236.859,-3.118,7.344
5,0.0,0.0,0.0
6,-532.871,9.852,-0.281
7,232.237,5.859,6.459
8,0.357,-0.011,0.082
9,-1189.285,-9.999,-0.009
10,0.575,-0.056,0.21
11,631.098,9.722,1.057
12,-234.568,1.776,-8.069
13,952.114,10.0,0.0
14,110.095,-10.0,0.0
15,-434.549,-9.645,-0.731
16,680.989,-9.97,1.342
17,0.0,0.0,0.0
18,-1.478,0.052,-0.252
19,20.629,1.485,1.863
20,60.125,-0.774,3.782
21,-607.258,-9.998,-0.004
22,417.796,-2.359,10.164
23,488.096,9.733,0.548
24,-101.308,1.738,-4.645
25,87.772,4.426,5.201
26,420.179,-10.0,0.0
27,-94.164,-5.093,-2.344
28,45.788,-8.155,0.936
29,726.155,8.797,6.144
30,-178.049,6.022,-2.399
31,809.436,9.889,0.83
32,26.114,-0.945,1.624
33,-15.055,-4.157,-1.74
34,668.164,-10.0,0.0
35,735.241,8.918,3.782
36,-854.67,10.0,-0.0
37,46.765,2.617,4.68
38,32.726,-3.241,2.41
39,-2.048,-0.752,-0.874
40,601.278,-9.258,1.419
41,8.053,1.16,0.773
42,-178.06,4.078,-6.941
43,22.13,2.138,1.823
44,246.378,-2.826,5.292
45,-110.233,-3.909,-6.346
46,151.572,-7.558,3.572
47,0.576,0.111,0.137
48,-43.98,1.08,-3.337
49,349.48,9.836,0.586
50,978.353,-10.0,0.0
